accession,protein_name,gene_name,tissue_specificity,Cerebellum,Midbrain,Thalamus,Lateral habenula,Hippocampus,Dentate gyrus,Basic cell groups and regions (grey),Lateral septal nucleus,Caudoputamen,Neocortex
A1A5B6,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1L3P4,Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Sodium/hydrogen exchanger) (Solute carrier family 9 member 6),Slc9a6 Nhe6,,-0.067199239,0.1294028,-0.587098832,0.009541341,-0.25495381,-0.140893707,0.31750439,-0.199523434,0.12317203,-0.162748786
A2A432,Cullin-4B (CUL-4B),Cul4b Kiaa0695,TISSUE SPECIFICITY: Expressed in oocytes (at protein level). {ECO:0000269|PubMed:24357321}.,0.038565428,-0.162955651,-0.450376604,-0.916894247,0.008029107,-0.029305765,-0.657186979,-0.152521364,0.154684485,0.205819008
A2A4P0,ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8),Dhx8,,1.190974865,0.714823873,1.110243676,0.226397516,0.980947026,0.641339321,0.940877141,-0.014723193,0.834917832,0.705079442
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2),Arfgef2 Arfgep2 Big2,,0.182516179,0.418996633,0.369150637,0.053674699,0.210975973,0.234301795,-0.054345201,0.086524609,0.525640721,0.384337452
A2A690,"Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)",Tanc2 Kiaa1148,,-0.067534041,-0.188631838,-0.066282503,-0.256388751,-0.001734112,0.100411827,0.185900662,0.182990496,-0.070888446,-0.104453687
A2A699,Protein FAM171A2,Fam171a2,,0.160307086,0.456584466,0.409028314,1.069697268,0.22888026,0.577229824,0.105894724,0.529852884,-0.071858171,0.017908899
A2A6A1,G patch domain-containing protein 8,Gpatch8 Gpatc8 Kiaa0553,,-2.171585505,-3.105647034,-2.880415152,-2.204839092,-2.215738497,-1.855131027,-2.649554291,-4.026158201,-2.633237899,-2.8801602
A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,,-0.732480226,-0.258331982,-0.103597819,-0.717998969,-0.147694728,-0.877059872,0.276164859,-1.011221351,-0.36442801,-0.406148661
A2A6T1,Cerebellar degeneration-related protein 2-like,Cdr2l Gm21,,-1.03431404,-0.880937349,-1.010465842,-0.856583442,-1.133532304,-1.039322953,-0.954324016,-0.287350933,-0.959967738,-0.664943938
A2A791,Zinc finger MYM-type protein 4 (Zinc finger protein 262),Zmym4 Kiaa0425 Zfp262 Znf262,,0.255262702,0.323050993,-0.265285935,-0.021557173,0.399058996,0.314694492,-0.229128251,-0.110131801,0.328945122,0.22351535
A2A7S8,NHS-like protein 3,Nhsl3 Kiaa1522,,-0.847712066,-1.173569019,-0.392097002,-1.329376269,-0.851698399,-0.107709292,-0.722685376,-0.826672324,-1.453432697,-0.772973945
A2A863,Integrin beta-4 (CD antigen CD104),Itgb4,,-1.462208898,-1.263797135,-1.217356208,-0.78346698,-1.72099443,-1.994333992,-0.855612521,-0.998889126,-1.324209493,-1.844747762
A2A891,Calmodulin-binding transcription activator 1,Camta1 Kiaa0833,,-0.131565546,-0.54018154,0.013843021,-1.076701695,-0.04123427,-0.698224574,-0.160550984,-0.686138098,-0.637312814,-0.539110673
A2A8L1,ATP-dependent chromatin remodeler CHD5 (EC 3.6.4.-) (Chromo domain-containing protein 5) (CHD-5),Chd5 Kiaa0444,"TISSUE SPECIFICITY: Specifically expressed by neurons in brain, retina and adrenal gland (at protein level). Also detected in testis. {ECO:0000269|PubMed:21931736, ECO:0000269|PubMed:23948251, ECO:0000269|PubMed:24252660}.",-0.305901978,0.013726831,0.094309767,-0.218272864,-0.87880056,-0.261281683,-2.343483015,-0.798560891,-0.018710658,-0.178874727
A2A8L5,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR),Ptprf Lar,TISSUE SPECIFICITY: Expressed in the cell of the T lineage but not in cells of any other hemopoietic lineage. {ECO:0000269|PubMed:11241288}.,-0.635000617,-0.768378792,-0.500183167,1.310288529,-0.495350544,-0.417220379,-0.397408334,-0.456342852,-0.675834227,-0.549910014
A2A8U2,Transmembrane protein 201 (Spindle-associated membrane protein 1),Tmem201 D4Ertd429e Net5 Samp1,,-0.071292009,-0.047733595,0.164852875,0.021892529,-0.061572472,-0.110735089,-0.569702356,0.506884261,-0.013423134,0.432168165
A2A8Z1,Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9),Osbpl9 Orp9,,-0.148622108,-0.003548159,0.256923708,-0.349488611,0.552485983,0.642203162,-0.086740535,0.719713072,0.047075596,0.000345012
A2A9C3,KICSTOR complex protein SZT2 (Seizure threshold 2 protein) (Transcript increased in glutamate resistance) (TIGR),Szt2,"TISSUE SPECIFICITY: Mostly expressed in brain, spinal cord and lung. {ECO:0000269|PubMed:19624305, ECO:0000269|PubMed:20045724}.",-0.957650337,-0.990328615,-0.22718367,-0.591648449,-0.398386453,-0.845807531,-1.520522503,-0.296988472,-0.935915191,-1.111026202
A2A9Q0,Fibronectin type III domain-containing protein 10,Fndc10,,0.871860252,0.079915596,-0.802891355,0.997790262,0.302733725,0.754089263,0.942354877,NA,0.224002634,0.268473763
A2A9T0,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1) (Similar to NAP1 TBK1 adapter),Tbkbp1 Sintbad,,0.331841345,0.277850201,0.866416828,-0.634261328,0.138292753,-0.264609657,0.459129402,-1.065047637,-0.119127746,0.271328749
A2AAE1,Bridge-like lipid transfer protein family member 1 (Fragile site-associated protein homolog),Bltp1 Fsa Kiaa1109 Kiaa1371,TISSUE SPECIFICITY: Highly expressed in testis and ovary. Weakly or not expressed in other tissues. {ECO:0000269|PubMed:16545529}.,-0.296602818,-0.270943804,-0.107695671,-0.107124227,-0.158074553,-0.1406265,0.010470411,-0.073420688,-0.333972587,-0.341559981
A2AAX3,Kelch-like protein 15,Klhl15,,0.886640011,1.281511177,0.284107264,0.416629748,0.446907556,0.249994468,1.125855068,-0.041216849,0.87408567,0.640609391
A2ABV5,Mediator of RNA polymerase II transcription subunit 14 (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170),Med14 Crsp2 Gm641 Trap170,,-4.319568404,-4.041358981,-4.215655279,-2.107340568,-4.393111744,NA,-4.326827677,NA,-4.733221346,-4.838563731
A2ADA5,tRNA pseudouridine synthase-like 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase-like 1) (tRNA-uridine isomerase-like 1),Pusl1,,0.820930988,1.052703273,1.937370699,1.255708984,1.911759467,0.812589375,0.106328352,1.298631171,1.343102089,1.238532978
A2ADY9,Protein DDI1 homolog 2 (EC 3.4.23.-),Ddi2,,-0.333296642,-0.702665665,-0.676622076,-0.956212595,-0.65066804,-0.389307009,-0.271038607,-0.527134863,-0.452192068,-1.047341346
A2AEV7,Coiled-coil domain-containing protein 120,Ccdc120,,-0.52779063,0.014757935,-0.493560451,-0.397048927,-0.633574852,-0.244203518,-0.372192803,-0.175092524,-0.210155041,-0.493844016
A2AF47,Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2),Dock11 Ziz2,"TISSUE SPECIFICITY: Expressed in spleen, thymus, mesenteric lymph nodes (MLN), bone marrow and peripheral blood lymphocytes. Enriched in B-cells from germinal centers. Expressed in B-, T- and dendritic cells as well as Purkinje cells (PubMed:22494997, PubMed:25851601). {ECO:0000269|PubMed:15710388, ECO:0000269|PubMed:22494997, ECO:0000269|PubMed:25729399, ECO:0000269|PubMed:25851601}.",0.624439518,0.813584037,0.384217916,1.283353364,0.916240049,1.235563525,1.086874253,0.436851015,0.481657727,0.343374862
A2AF53,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2AFR3,FERM and PDZ domain-containing protein 4 (PDZ domain-containing protein 10) (PSD-95-interacting regulator of spine morphogenesis) (Preso),Frmpd4 Gm196 Kiaa0316 Pdzd10 Pdzk10,"TISSUE SPECIFICITY: Expressed in various regions of the brain, including cortex, hippocampus, cerebellum, olfactory bulb and medial habenular nucleus. {ECO:0000269|PubMed:19118189}.",-0.882980512,-0.744887284,-1.051657771,-1.323999092,-0.399744269,-0.49623236,-0.776630479,-1.261312205,-0.340109046,-0.366333434
A2AFS3,Endosome/lysosome-associated apoptosis and autophagy regulator 1,Elapor1 Kiaa1324,,0.903864595,1.328324346,0.926906168,0.553323719,0.611429227,0.590766164,0.939921356,0.975920122,0.753347239,0.494641204
A2AG50,MAP7 domain-containing protein 2,Map7d2 Mtap7d2,TISSUE SPECIFICITY: Expressed predominantly in the glomerular layer of the olfactory bulb and Sertoli cells of the testis. {ECO:0000269|PubMed:35470240}.,0.786103118,1.234873549,1.100256787,0.497141361,0.736092418,0.611028313,1.510789299,0.526693085,1.063416927,0.986122638
A2AG58,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2AGH6,Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein),Med12 Kiaa0192 Mopa Tnrc11 Trap230,,-4.225580587,-4.201336092,NA,NA,-4.159916498,NA,NA,NA,-4.392097678,-4.918026859
A2AGL3,Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor),Ryr3,"TISSUE SPECIFICITY: Detected in hippocampus, cerebellum, striatum, frontal brain cortex and parietal brain cortex. Detected in skeletal muscle, diaphragm muscle and myometrium (at protein level). Detected in egg cells. Detected in heart, diaphragm, stomach, spleen, ovary, testis germ cells, brain and cerebellum. Detected in cerebral artery smooth muscle cells. {ECO:0000269|PubMed:11717163, ECO:0000269|PubMed:17596299, ECO:0000269|PubMed:7621815, ECO:0000269|PubMed:7635066, ECO:0000269|PubMed:7876312, ECO:0000269|PubMed:9582272}.",-2.196652258,NA,NA,NA,NA,NA,NA,NA,NA,-1.924416798
A2AGT5,Cytoskeleton-associated protein 5,Ckap5,,-0.180257181,-0.217397782,-0.197637515,-1.036626331,-0.213621761,-0.345614917,0.040237859,-0.204456823,-0.182869908,-0.061556485
A2AH22,Activating molecule in BECN1-regulated autophagy protein 1,Ambra1 Kiaa1736,"TISSUE SPECIFICITY: Expressed throughout the brain, including midbrain and striatum. {ECO:0000269|PubMed:21753002}.",0.394133948,0.827128048,-0.057938411,-0.645050039,0.337772764,0.305765945,-0.563956389,-0.372955949,-0.20864078,0.235759663
A2AHC3,Calmodulin-regulated spectrin-associated protein 1,Camsap1,TISSUE SPECIFICITY: Expressed in the central nervous system. {ECO:0000269|PubMed:36283405}.,0.070666349,0.208988064,0.160555447,-0.797601174,0.238429855,-0.056363956,-0.002209803,0.011834374,0.031676382,0.1873404
A2AHG0,Leucine zipper putative tumor suppressor 3 (ProSAP-interacting protein 1) (ProSAPiP1),Lzts3 Prosapip1,,-0.203816905,-0.450009625,-0.416689502,-0.435548185,-0.326783008,-0.232205271,-0.964312017,-0.137714332,-0.212727901,0.074376918
A2AHL1,Anoctamin-3 (Transmembrane protein 16C),Ano3 Tmem16c,"TISSUE SPECIFICITY: Predominantly expressed in neuronal tissues. Expressed in brain. {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:23532839}.",0.250429833,0.309039724,1.053107086,-0.051425284,0.326549541,0.119845347,0.737937328,1.068059136,0.716276479,0.17684172
A2AI08,Taperin,Tprn,"TISSUE SPECIFICITY: In the organ of Corti, expressed in the inner ear hair cell stereocilia and the supporting cells (at protein level) (PubMed:20170899, PubMed:37952086). Expressed in the sensory epithelia of the organ of Corti and vestibular end organs and, to a lesser extent, in Reisner's membrane and the spiral ligament (at protein level) (PubMed:20170899). At postnatal day 2, expression is detected in cochlea, liver, brain, kidney, heart and lung (PubMed:20170898). {ECO:0000269|PubMed:20170898, ECO:0000269|PubMed:20170899, ECO:0000269|PubMed:37952086}.",-0.304598851,-0.402688856,-0.439092564,0.12478387,-0.300611359,-0.060587178,-1.027794604,-0.156697482,-0.111042856,-0.190169848
A2AIL4,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",Ndufaf6,,2.278651574,1.49445494,0.906892506,0.927833397,1.013263656,0.782458492,0.197058454,1.765842278,1.422432367,1.243989594
A2AIR5,"Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)",Grin3a Kiaa1973,TISSUE SPECIFICITY: Expressed in the brain (at protein level). {ECO:0000269|PubMed:24297929}.,-1.301366337,-1.535934765,-1.189264981,-0.781090856,-1.322507745,-1.676575939,-0.832544785,-1.971452746,-1.301383691,-1.234059154
A2AIV2,Protein virilizer homolog,Virma Kiaa1429,,-0.070242386,-0.397735811,-0.489456093,-0.390059568,-0.495911189,0.003365473,-1.147133716,-0.146837363,-0.36008363,-0.344593721
A2AJ15,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)",Man1b1,,0.442735798,0.465429278,1.122157058,0.814368194,0.423520565,0.17921542,0.932723375,0.74051267,0.44603223,0.787868787
A2AJ88,Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-) (EC 3.1.1.5) (Neuropathy target esterase-related esterase) (NRE) (NTE-related esterase),Pnpla7,"TISSUE SPECIFICITY: [Isoform 1]: Expressed in white and brown adipose tissue, cardiac muscle, skeletal muscle, and testis. {ECO:0000269|PubMed:18086666, ECO:0000269|PubMed:22326266}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in white adipose tissue, cardiac muscle, skeletal muscle, and testis. {ECO:0000269|PubMed:22326266}.; TISSUE SPECIFICITY: [Isoform 3]: Expressed in white adipose tissue, cardiac muscle, skeletal muscle, and testis. {ECO:0000269|PubMed:22326266}.",-1.250060527,-1.290931086,0.334350075,0.080571531,-1.094822656,-0.954759071,-0.711359863,-0.058484551,-1.904948342,-1.927498925
A2AJA9,Apical junction component 1 homolog,Ajm1 Gm996,,0.235382815,0.306191167,0.206375765,-0.068020689,0.036656796,0.222726939,-0.032722163,0.064906489,0.21779338,0.203078552
A2AJB2,Transmembrane protein 141,Tmem141 D2Ertd217e,,0.140744538,-0.027089146,-0.736057996,-0.233777278,-0.490940964,0.683244121,0.056718007,-0.377842031,-0.180726021,0.035152598
A2AJI0,MAP7 domain-containing protein 1,Map7d1 Kiaa1187 Mtap7d1,,0.659440402,0.649401909,0.60976457,0.090650634,0.323213181,0.16301033,0.603279039,0.384794752,0.650923124,0.658645539
A2AJK6,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2AJQ3,Probable C-mannosyltransferase DPY19L4 (EC 2.4.1.-) (Dpy-19-like protein 4) (Protein dpy-19 homolog 4),Dpy19l4 Gm1023,,0.728631885,0.941357619,1.171725365,-0.481153331,1.192032082,1.088446781,0.974979909,0.853747174,1.104383825,1.223589459
A2AJT4,"Arginine/serine-rich protein PNISR (Serine/arginine-rich-splicing regulatory protein 130) (SRrp130) (Splicing factor, arginine/serine-rich 130) (Splicing factor, arginine/serine-rich 18)",Pnisr Sfrs18 Srrp130,,1.058387834,0.972963715,0.287241591,0.747071354,0.708738454,0.954045433,0.41941177,0.764624996,1.029392716,0.855431658
A2AKG8,Focadhesin,Focad Kiaa1797,TISSUE SPECIFICITY: Expressed by glial and neuronal cells in brain. {ECO:0000269|PubMed:22427331}.,-2.455307625,-3.141750754,-2.015020495,-3.143457499,-2.177332019,-2.770937766,-2.32827412,-2.007341613,-2.563013024,-2.836212455
A2ALI5,Adherens junction-associated protein 1,Ajap1 Gm573,,-1.138382241,-0.991195442,-1.862803728,-1.428509923,-2.325909005,-1.557791696,-1.416046125,-1.602127086,-1.185513562,-1.251398237
A2ALK8,Tyrosine-protein phosphatase non-receptor type 3 (EC 3.1.3.48),Ptpn3,,-1.735191476,-1.255817543,-1.249286236,-0.144916549,-1.432750152,-1.257319594,-0.521051213,NA,-1.158431132,-1.088882055
A2ALS5,Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1) (ARPP-90),Rap1gap Kiaa0474 Rap1ga1,TISSUE SPECIFICITY: Detected in brain cortex and striatum (at protein level). Detected in brain cortex and striatum. {ECO:0000269|PubMed:19218462}.,-0.537439332,-0.240358666,-0.060005868,-0.859720524,-0.188822692,-0.074915305,0.067266431,0.320061115,-0.406450916,-0.328232279
A2ALU4,Protein Shroom2 (Protein Apxl),Shroom2 Apxl,TISSUE SPECIFICITY: Present in kidney tubules and in the vasculature of many tissues (at protein level). {ECO:0000269|PubMed:16684770}.,-0.710345511,-0.699124929,-0.041371398,-0.540688066,-0.928245668,-0.479560643,0.085505902,-0.404230932,-0.932047966,-0.677317069
A2AN08,E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (N-recognin-4),Ubr4 Kiaa0462,TISSUE SPECIFICITY: Widely expressed in adult and embryonic stages with highest levels in testis and brain. {ECO:0000269|PubMed:16055722}.,-0.121165558,-0.162744205,-0.11940517,0.124278522,-0.196671723,0.037065682,-0.033729011,-0.09919664,-0.288855508,-0.150085476
A2ANU3,Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B),Syndig1 Tmem90b,"TISSUE SPECIFICITY: Brain-specific. Expressed in Purkinje neurons in cerebellum. Also detected in the hippocampus. Found at excitatory synapses and postsynaptic cells. {ECO:0000269|PubMed:12408845, ECO:0000269|PubMed:20152115}.",-0.191692949,0.363353425,-0.02213743,-0.418849086,0.133771899,-0.030072054,0.005867429,-0.269891297,0.20228493,-0.186031997
A2AP18,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)",Plch2 Plcl4,"TISSUE SPECIFICITY: Specifically detected in the brain, with higher level in cerebral cortex, olfactory bulb and hippocampus (at protein level). Expressed in the pyramidal cells of the hippocampus, but also in eye and lung. {ECO:0000269|PubMed:15899900, ECO:0000269|PubMed:16107206}.",0.191616441,0.051456988,-0.025601168,0.079258604,0.025439448,-0.0548934,0.019469401,0.20432556,0.026236039,0.017918879
A2APT9,Kelch domain-containing protein 7A,Klhdc7a,,0.086359155,-1.561659125,-1.82699021,-2.149102437,-1.418953284,-0.936406947,-1.102652407,-2.293554897,-1.558735109,-1.251502676
A2APV2,Formin-like protein 2 (Protein Man),Fmnl2 Kiaa1902 Man,,0.381927242,0.271037441,0.217280342,-0.206798193,0.160203902,0.343725384,0.332904837,0.106869407,0.034316311,0.28478294
A2APX8,Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1),Scn1a,"TISSUE SPECIFICITY: Present in cerebellar Purkinje neurons (at protein level) (PubMed:17928448). Expressed by myelinated, non-C-fiber neurons in sensory ganglia (PubMed:27281198). {ECO:0000269|PubMed:17928448, ECO:0000269|PubMed:27281198}.",0.138457017,0.168903243,0.120846856,-0.413910152,0.021828384,-0.319239765,-0.214487423,-0.360468946,-0.155959397,0.314954204
A2APY7,"Arginine-hydroxylase NDUFAF5, mitochondrial (EC 1.-.-.-) (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5) (Putative methyltransferase NDUFAF5) (EC 2.1.1.-)",Ndufaf5,,-0.209153573,-0.189327792,-0.472534636,-0.49307281,-1.034523158,-1.420165828,-1.078644077,-1.193555973,-0.207667902,-0.140261402
A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,,-0.498307688,-0.559493809,-0.439924611,-0.867759886,-0.358379308,-0.28616689,-1.026952529,-0.332635705,-0.425544672,-0.253025126
A2AQ25,Sickle tail protein (Enhancer trap locus 4),Skt Etl4 Kiaa1217,"TISSUE SPECIFICITY: Expressed predominantly in the notochord and mesonephros during embryogenesis as well as in other areas such as the epithalamus sulcus, lens vesicle, inner retinal layer, heart, hepatic primordial surface, infundibulum, surface ectoderm, hind gut and limb bud mesenchyme. In adults, expressed in a range of tissues including the nucleus pulposus, corpus callosum, kidney, cardiac muscle, Sertoli cells and hair follicles. {ECO:0000269|PubMed:16204209}.",0.403499003,0.404831486,0.512586161,-0.048996106,0.239205128,0.263336326,-0.057562038,-0.138800658,0.445576439,0.517258208
A2AR02,Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (Cyclophilin G) (Rotamase G),Ppig,,1.128749396,0.285902186,0.202054486,-0.440499159,0.326939625,0.316432362,0.259442837,-0.381690687,0.32485637,0.614750321
A2AR50,Ras-specific guanine nucleotide-releasing factor RalGPS1 (Ral GEF with PH domain and SH3-binding motif 1) (Ral guanine nucleotide exchange factor 2) (RalGEF 2) (RalA exchange factor RalGPS1),Ralgps1 Kiaa0351 Ralgef2 Ralgps1a,,-0.710557706,-0.732796502,-1.035632594,-0.017606218,-1.419170094,-0.246740768,-0.000950426,-0.099374352,-0.885527611,-0.817040093
A2ARP1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog),Ppip5k1 Hisppd2a Kiaa0377 Vip1,,-0.686284123,-0.249765769,-0.70841544,-0.363772821,-0.215014186,-0.252182592,-1.204516298,-0.334382143,0.064458809,-0.228077694
A2ARS0,Ankyrin repeat domain-containing protein 63,Ankrd63 Gm1337,,-1.012817323,-1.378263118,-1.432574503,-1.083037991,-1.099922156,-0.992945049,-1.626698076,-0.794070383,-0.954604245,-1.091987386
A2ARV4,Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin),Lrp2,"TISSUE SPECIFICITY: In the inner ear, strongly expressed in the marginal cells of the stria vascularis (at protein level) (PubMed:17846082). In the female reproductive tract, expressed on the luminal side of the uterine epithelium (at protein level) (PubMed:16143106). In the adult brain, expressed in ependymal cells of the lateral ventricles where expression is restricted to the ependyma that faces the stem cell niche (at protein level) (PubMed:20460439). Expressed in neurons throughout the brain including in the hippocampus, limbic cortices and cerebellum (at protein level) (PubMed:20637285). In the developing optic nerve, expressed exclusively in astrocytes at 14.5 dpc, 16.5 dpc and 18.5 dpc (at protein level) (PubMed:22354480). {ECO:0000269|PubMed:16143106, ECO:0000269|PubMed:17846082, ECO:0000269|PubMed:20460439, ECO:0000269|PubMed:20637285, ECO:0000269|PubMed:22354480}.",1.829984521,1.626009054,1.905905232,NA,1.518878249,1.016854637,1.756097589,1.576711017,1.640206657,1.786348181
A2ASI5,Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3),Scn3a,"TISSUE SPECIFICITY: Expressed in enterochromaffin cells in both colon and small bowel (at protein level) (PubMed:29142310). Expressed in pancreatic alpha and beta cells (PubMed:25172946). {ECO:0000269|PubMed:25172946, ECO:0000269|PubMed:29142310}.",0.095118641,-0.033369906,-0.136641302,0.428103171,0.046348017,-0.140841285,0.210837549,0.026126171,-0.20890946,-0.178440027
A2ASQ1,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],Agrn Agrin,"TISSUE SPECIFICITY: Expressed in central nervous system (CNS) synapses such as in the cerebral cortex and hippocampus. Localizes to basal lamina of hippocampal blood vessels. Both (z+) and (z-) isoforms found in kidney, heart and cerebral vasculature. {ECO:0000269|PubMed:10402191, ECO:0000269|PubMed:11018052, ECO:0000269|PubMed:17611272, ECO:0000269|PubMed:18230682}.",0.216966104,0.250274485,0.365923638,0.797041116,0.276151368,0.047433266,-0.130609297,-0.072498926,0.080172749,0.13084078
A2ASZ8,Mitochondrial adenyl nucleotide antiporter SLC25A25 (Short calcium-binding mitochondrial carrier protein 2) (SCaMC-2) (Solute carrier family 25 member 25),Slc25a25 Kiaa1896 Scamc2,,0.554859658,0.613485304,0.518697339,-0.653826032,0.285534323,0.253617137,-0.316093649,0.304386454,0.29644043,0.283240683
A2AT37,Regulator of nonsense transcripts 2 (Up-frameshift suppressor 2 homolog) (Upf2),Upf2 RENT2,TISSUE SPECIFICITY: Localized in male germ cells. {ECO:0000269|PubMed:27149095}.,0.081780439,0.311084578,-0.060411784,0.000927379,0.124915787,-0.003745676,-0.389252985,0.045223105,0.251615962,0.269991386
A2AV25,Fibrinogen C domain-containing protein 1,Fibcd1,,0.132119825,0.03801145,-0.156229761,-0.633825613,-0.1208829,-0.357083192,-0.07596906,0.398783763,-0.1004779,0.122719495
A2AWA9,Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA),Rabgap1 Kiaa4104,,0.313755673,0.395150033,0.325248459,-0.423852001,0.33131567,0.285997574,0.360447559,0.130338849,0.381643348,0.568279019
A2AWP8,Rho guanine nucleotide exchange factor 10-like protein (GrinchGEF),Arhgef10l Kiaa1626,,1.407168447,1.404760502,1.164468116,1.255102925,1.431743254,1.499854168,0.920159331,1.082565923,1.358149022,1.594580884
A2AWR3,Lysosomal cholesterol signaling protein (LYCHOS),Gpr155,"TISSUE SPECIFICITY: Widely expressed in adult tissues and during development (PubMed:20537985). In brain, widely distributed in forebrain regions, while it shows a more restricted distribution in the midbrain and hindbrain regions (PubMed:20537985). Expressed at highest level in the lateral part of striatum and hippocampus (PubMed:20537985). {ECO:0000269|PubMed:20537985}.",-0.888974763,-0.271645404,-0.685229171,-0.33217861,-0.921369603,-0.549770657,-0.596293031,-0.747058779,-1.141167943,-0.722219713
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3 (Molybdenum cofactor synthesis protein 3) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase MOCS3) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase MOCS3)],Mocs3 Uba4,,0.353718482,0.53357978,0.323120158,0.364591879,0.463606557,0.131884593,-0.036167759,-0.040262978,0.493728431,0.340237363
A2BE28,Ribosomal biogenesis protein LAS1L (Endoribonuclease LAS1L) (EC 3.1.-.-) (Protein LAS1 homolog),Las1l,,-1.91422128,-1.353696596,-0.691545097,-0.747652054,-0.822661576,-0.491805323,-0.456319836,-0.75789571,-1.360179155,-1.378942826
